AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379218 function calls (361640 primitive calls) in 0.373 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      478    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      478    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      475    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
      469    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
      455    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      455    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
      455    0.002    0.000    0.005    0.000 enum.py:89(__setitem__)
      454    0.000    0.000    0.001    0.000 enum.py:22(_is_dunder)
      424    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.001    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      382    0.000    0.000    0.001    0.000 enum.py:12(_is_descriptor)
      366    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      359    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  340/228    0.000    0.000    0.001    0.000 typing.py:1247(__hash__)
      332    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      330    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      330    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      330    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    324/1    0.008    0.000    0.373    0.373 {built-in method builtins.exec}
      323    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
    320/2    0.000    0.000    0.371    0.186 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      319    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
      316    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      314    0.000    0.000    0.000    0.000 typing_extensions.py:172(_should_collect_from_parameters)
      313    0.001    0.000    0.005    0.000 css_parser.py:999(selector_iter)
      308    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      304    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      299    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
      298    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      293    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
      293    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
    293/2    0.002    0.000    0.373    0.186 <frozen importlib._bootstrap>:1022(_find_and_load)
      292    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      292    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
    292/2    0.001    0.000    0.373    0.186 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      288    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
      288    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap>:921(_find_spec)
