AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379140 function calls (361575 primitive calls) in 0.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
    239/2    0.001    0.000    0.334    0.167 <frozen importlib._bootstrap_external>:877(exec_module)
     3595    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       27    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      695    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     2241    0.001    0.000    0.002    0.000 css_parser.py:305(match)
      482    0.001    0.000    0.007    0.000 enum.py:359(__call__)
      239    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     1184    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       29    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       24    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
      717    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1187    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      719    0.001    0.000    0.002    0.000 sre_compile.py:447(_simple)
1587/1040    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      266    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       77    0.001    0.000    0.006    0.000 css_parser.py:450(parse_attribute_selector)
      115    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
       13    0.001    0.000    0.002    0.000 enum.py:553(<listcomp>)
      642    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      755    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
     3807    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      424    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      183    0.001    0.000    0.001    0.000 enum.py:986(__and__)
      298    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
