('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         540742 function calls (521915 primitive calls) in 1.675 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      123    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
      770    0.001    0.000    1.036    0.001 ssl.py:1150(read)
     1220    0.001    0.000    0.013    0.000 __init__.py:763(handle_endtag)
        1    0.001    0.001    0.001    0.001 langgreekmodel.py:1(<module>)
      313    0.001    0.000    0.005    0.000 css_parser.py:999(selector_iter)
      212    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      183    0.001    0.000    0.158    0.001 sre_compile.py:783(compile)
      183    0.001    0.000    0.009    0.000 sre_compile.py:560(_compile_info)
      273    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.001    0.001    0.002    0.002 langbulgarianmodel.py:1(<module>)
     4474    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
       12    0.001    0.000    0.368    0.031 {method 'join' of 'bytes' objects}
       16    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
     2686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      891    0.001    0.000    0.002    0.000 sre_parse.py:433(_uniq)
     8168    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1374    0.001    0.000    0.002    0.000 sre_parse.py:169(__setitem__)
      803    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
     3692    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
3759/3691    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     4474    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      321    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
     5582    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1220    0.001    0.000    0.014    0.000 _htmlparser.py:160(handle_endtag)
      383    0.001    0.000    0.002    0.000 __init__.py:620(object_was_parsed)
      196    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      202    0.001    0.000    0.003    0.000 typing.py:146(_type_check)
     6097    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    45/14    0.001    0.000    0.017    0.001 css_parser.py:847(parse_selectors)
     1015    0.001    0.000    0.002    0.000 sre_compile.py:447(_simple)
      185    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      370    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     2817    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     4090    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      265    0.001    0.000    0.002    0.000 sre_compile.py:435(_mk_bitmap)
      183    0.001    0.000    0.100    0.001 sre_parse.py:944(parse)
      185    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     1220    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
     2241    0.001    0.000    0.002    0.000 css_parser.py:305(match)
      611    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
     5483    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      383    0.001    0.000    0.003    0.000 element.py:943(__new__)
      891    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1789    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
    185/3    0.001    0.000    0.326    0.109 <frozen importlib._bootstrap_external>:877(exec_module)
       77    0.001    0.000    0.006    0.000 css_parser.py:450(parse_attribute_selector)
     2025    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      185    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       97    0.001    0.000    0.366    0.004 response.py:1030(read_chunked)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1221    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      185    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      946    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.001    0.001    0.001    0.001 connection.py:270(close)
       18    0.001    0.000    0.750    0.042 __init__.py:1(<module>)
      555    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      415    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      384    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
     3815    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
    186/1    0.001    0.000    1.675    1.675 {built-in method builtins.exec}
     1391    0.001    0.000    0.001    0.000 element.py:1543(get)
        1    0.001    0.001    0.001    0.001 langrussianmodel.py:1(<module>)
  212/208    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1889    0.001    0.000    0.001    0.000 element.py:2062(descendants)
      183    0.001    0.000    0.001    0.000 enum.py:986(__and__)
     1667    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1220    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      554    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
  205/170    0.000    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
       10    0.000    0.000    0.002    0.000 enum.py:553(<listcomp>)
      770    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      487    0.000    0.000    0.005    0.000 enum.py:359(__call__)
      508    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      183    0.000    0.000    0.055    0.000 sre_compile.py:622(_code)
      183    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1221    0.000    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
       19    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
       73    0.000    0.000    0.002    0.000 typing.py:1016(__init__)
      146    0.000    0.000    0.001    0.000 util.py:18(lower)
      477    0.000    0.000    0.001    0.000 enum.py:678(__new__)
     1153    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
      881    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
      770    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       97    0.000    0.000    0.342    0.004 response.py:1008(_handle_chunk)
      196    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
      611    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
     2390    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      305    0.000    0.000    0.000    0.000 types.py:176(__get__)
      308    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      381    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
      196    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     2742    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
